word1,acura,audi,bmw,ford,honda,infiniti,lexus,nissan,toyota,volkswagen
acura,,1.9377702782711663,1.175853569421385,1.0798016019303598,2.5167231249793875,2.105215913214538,1.782906866175072,1.6216712901058403,1.3815087134720327,1.5585371705421858
audi,1.9377702782711663,,1.5679079042784625,1.4718264150943399,1.6980490716180372,1.9146129032258066,2.168568484848485,1.0717837078651684,1.4788953488372092,3.3250980392156864
bmw,1.175853569421385,1.5679079042784625,,1.4269528096651936,1.2558267917973853,1.5198095277082504,1.7663418814687852,1.1226483121623714,1.38225655035949,1.3864621990928352
ford,1.0798016019303598,1.4718264150943399,1.4269528096651936,,2.5036834993243584,1.2127601947656725,1.7840320182961693,2.696311214755141,3.472458680707913,2.3003822912812923
honda,2.5167231249793875,1.6980490716180372,1.2558267917973853,2.5036834993243584,,1.28777487806965,1.3767044449803072,3.00086802968438,3.312586104085703,2.5357180007281426
infiniti,2.105215913214538,1.9146129032258066,1.5198095277082504,1.2127601947656725,1.28777487806965,,2.5528172043010753,2.842723812975716,1.616713553388347,1.6312644950453299
lexus,1.782906866175072,2.168568484848485,1.7663418814687852,1.7840320182961693,1.3767044449803072,2.5528172043010753,,1.3280013619339464,3.0275029363401456,1.5449950485244603
nissan,1.6216712901058403,1.0717837078651684,1.1226483121623714,2.696311214755141,3.00086802968438,2.842723812975716,1.3280013619339464,,3.8772537235432454,2.5685448336638026
toyota,1.3815087134720327,1.4788953488372092,1.38225655035949,3.472458680707913,3.312586104085703,1.616713553388347,3.0275029363401456,3.8772537235432454,,2.309095860566449
volkswagen,1.5585371705421858,3.3250980392156864,1.3864621990928352,2.3003822912812923,2.5357180007281426,1.6312644950453299,1.5449950485244603,2.5685448336638026,2.309095860566449,
