,make,model
0,acura,cl
1,acura,ilx
2,acura,integra
3,acura,legend
4,acura,mdx
5,acura,mdx sport hybrid
6,acura,nsx
7,acura,rdx
8,acura,rl
9,acura,rlx
10,acura,rlx sport hybrid
11,acura,rsx
12,acura,slx
13,acura,tl
14,acura,tlx
15,acura,tsx
16,acura,vigor
17,acura,zdx
18,alfa romeo,164
19,alfa romeo,4c
20,alfa romeo,4c spider
21,alfa romeo,giulia
22,alfa romeo,spider
23,alfa romeo,stelvio
24,aston martin,db11
25,aston martin,db12
26,aston martin,db9
27,aston martin,db9 gt
28,aston martin,dbs
29,aston martin,dbs superleggera
30,aston martin,dbx
31,aston martin,rapide
32,aston martin,rapide s
33,aston martin,vanquish
34,aston martin,vanquish s
35,aston martin,vantage
36,aston martin,virage
37,audi,100
38,audi,80
39,audi,90
40,audi,a3
41,audi,a3 sportback e-tron
42,audi,a4
43,audi,a4 (2005.5)
44,audi,a4 allroad
45,audi,a5
46,audi,a5 sport
47,audi,a6
48,audi,a6 allroad
49,audi,a7
50,audi,a8
51,audi,allroad
52,audi,cabriolet
53,audi,e-tron
54,audi,e-tron gt
55,audi,e-tron s
56,audi,e-tron s sportback
57,audi,e-tron sportback
58,audi,q3
59,audi,q4 e-tron
60,audi,q4 sportback e-tron
61,audi,q5
62,audi,q5 sportback
63,audi,q7
64,audi,q8
65,audi,q8 e-tron
66,audi,q8 sportback e-tron
67,audi,quattro
68,audi,r8
69,audi,rs 3
70,audi,rs 4
71,audi,rs 5
72,audi,rs 6
73,audi,rs 7
74,audi,rs e-tron gt
75,audi,rs q8
76,audi,s3
77,audi,s4
78,audi,s4 (2005.5)
79,audi,s5
80,audi,s6
81,audi,s7
82,audi,s8
83,audi,sq5
84,audi,sq5 sportback
85,audi,sq7
86,audi,sq8
87,audi,tt
88,bentley,arnage
89,bentley,azure
90,bentley,azure t
91,bentley,bentayga
92,bentley,bentayga ewb
93,bentley,brooklands
94,bentley,continental
95,bentley,continental gt
96,bentley,continental gtc
97,bentley,flying spur
98,bentley,mulsanne
99,bmw,1 series
100,bmw,2 series
101,bmw,3 series
102,bmw,4 series
103,bmw,5 series
104,bmw,6 series
105,bmw,7 series
106,bmw,8 series
107,bmw,alpina b7
108,bmw,i3
109,bmw,i4
110,bmw,i7
111,bmw,i8
112,bmw,ix
113,bmw,m
114,bmw,m2
115,bmw,m3
116,bmw,m4
