word,count
familiar,19
would,1853
two,549
generation,125
quality,288
overall,172
importance,13
list,269
great,708
appreciate,64
co,12
much,1233
difference,403
dont,1790
6k,24
purchase,142
debating,10
know,1137
lexusprevious,1
price,931
work,320
dependability,5
initial,36
lexus,825
acura,1689
never,631
new,1345
owners,155
categorys,1
nontype,1
owned,172
dilemma,6
honda,754
better,1152
previous,174
top,356
service,192
lower,172
compare,187
worth,229
input,32
supposedly,36
lot,639
prices,172
2002,83
approx,11
alone,97
matter,232
may,559
certainly,196
imo,168
easy,122
many,721
enthusiast,91
drivers,219
even,1220
manual,623
tranny,133
let,216
winner,51
board,152
good,1149
consider,231
prefer,133
car,4045
value,406
engine,694
stick,225
every,510
months,248
g,397
listed,52
enjoy,159
performance,917
driving,859
another,474
wait,176
grief,8
id,550
sedan,974
auto,347
exceptional,19
thats,861
bmw,2758
thought,320
9,60
power,516
get,1824
really,1086
drive,1150
desperately,5
break,104
wont,281
care,247
toyota,516
speed,324
likelihood,7
buy,733
autoequipped,2
mode,51
6,431
rarely,35
want,902
100,134
mark,117
understand,188
america,56
infiniti,1240
oxymoron,3
coupe,296
true,312
sad,32
segment,220
europe,123
enough,373
contender,17
thing,601
automaticonly,3
comes,362
interesting,245
serious,111
version,208
possible,115
book,57
asia,8
automatic,267
australia,7
dig,18
530i,61
friend,116
hey,100
525i,9
gearbox,23
yeah,185
right,700
540i,11
best,773
regards,382
shipo,193
riez,29
choice,258
nothing,355
least,451
driver,281
manuals,79
weenies,1
wrong,289
trying,249
think,1568
needs,196
almost,381
faster,175
automatics,77
truly,70
say,853
poorly,29
always,418
option,254
theres,234
one,2012
perform,57
holds,28
sure,634
heavy,137
likes,61
old,435
class,461
live,236
buck,51
bang,40
im,1252
lbs,103
pretty,492
audi,1000
isnt,446
styling,184
is300,109
3600,11
guess,378
assuming,73
pushing,38
horsies,2
deserves,13
lexusi,1
character,23
260,16
also,1005
something,605
interior,527
sporting,33
215,13
probably,532
cheap,151
though,466
horsepower,93
like,2184
29k,11
liked,127
rather,229
personally,147
cts,485
irritates,1
lineup,57
considering,145
make,844
sporty,172
test,507
maybe,484
wife,205
could,838
luxury,690
said,637
nice,559
sport,545
lead,23
services,20
mbarto,2
finally,115
couldnt,158
540ia,1
worthy,35
close,319
ill,440
promise,9
youve,95
bribes,1
issue,241
truism,1
lifes,7
figured,45
since,603
5speed,41
fwd,388
6speed,149
nissan,356
lincoln,136
series,739
transmission,333
smooth,120
4,458
2,567
complexity,12
1,390
try,230
rwd,453
gets,253
future,105
go,786
inline,48
3,1140
cadillac,261
fun,337
lsd,42
adds,45
6s,16
weight,233
affordable,22
magnificently,1
35se,1
ls6,4
engines,181
add,262
awd4wd,6
hard,366
direct,49
es,119
smart,45
offer,218
competitors,63
looking,544
notwithstanding,11
model,418
resale,88
features,199
driven,383
well,1237
uptodate,3
either,442
older,84
reliability,265
issues,185
job,114
paper,45
havent,199
i35,22
legendary,13
already,218
post,326
arent,196
sorry,196
space,127
tired,28
getting,449
i35s,3
ever,406
typing,7
exciting,24
looked,167
taken,85
check,178
built,176
lemons,6
postings,10
front,291
shoud,1
read,338
c240,11
cvt,33
thanks,257
set,195
wheel,258
got,618
decision,116
starting,75
30,221
mb,286
low,264
advice,24
people,973
cant,664
manintenance,1
proven,27
couple,268
offered,106
suggested,31
information,68
mind,209
company,165
community,9
relative,63
powerplants,4
venting,2
similar,202
anytime,15
years,870
representative,13
superior,69
made,433
distinguished,2
concerns,19
asian,19
companies,88
package,390
newcommers,1
conclusively,1
help,147
ive,724
known,62
neither,69
usually,160
find,445
time,933
maintenance,184
market,342
