Word,Frequency
the,78036
a,38720
and,30863
to,30788
i,27593
is,22176
of,21531
in,19456
that,16776
for,14487
it,14423
you,13698
with,11640
on,10293
but,9443
not,9271
my,9142
have,9050
are,8807
as,8407
car,8047
be,7700
was,6917
or,6445
they,6377
at,6075
if,5901
this,5328
an,5179
like,5111
more,4810
about,4740
than,4697
would,4551
bmw,4510
has,4471
-,4450
just,4446
all,4276
will,4105
one,4065
so,4025
get,4022
it's,4021
can,4017
your,3952
cars,3869
what,3862
from,3635
don't,3388
think,3253
out,3240
me,3174
when,3146
do,3124
had,2986
no,2972
new,2946
tl,2773
some,2764
up,2723
there,2664
their,2637
even,2601
only,2528
by,2439
much,2418
i'm,2392
any,2354
we,2314
better,2310
3,2299
other,2210
very,2179
good,2176
over,2170
drive,2166
people,2118
how,2095
its,2046
really,2043
then,2024
know,1962
which,1941
same,1936
because,1880
want,1848
most,1808
driving,1776
also,1763
were,1753
who,1738
still,1732
been,1703
performance,1694
see,1659
make,1647
could,1632
luxury,1576
g35,1574
that's,1539
acura,1519
those,1514
does,1513
buy,1511
too,1509
am,1505
why,1492
price,1489
lexus,1487
back,1474
say,1469
them,1445
going,1444
these,1430
should,1427
many,1409
go,1393
time,1377
well,1372
way,1336
did,1324
i've,1313
great,1298
into,1289
series,1259
now,1249
years,1243
manual,1243
got,1236
never,1217
less,1209
take,1207
he,1199
best,1188
engine,1184
&,1162
audi,1159
doesn't,1150
may,1150
here,1140
it.,1133
look,1131
sport,1129
sedan,1125
car.,1104
interior,1101
both,1094
can't,1093
need,1093
infiniti,1092
cts,1089
being,1070
test,1064
little,1063
since,1060
lot,1046
few,1027
every,1024
off,1019
--,1019
after,1012
two,1011
while,999
looking,994
rwd,988
sure,979
last,978
didn't,976
something,975
awd,972
i'd,970
where,963
first,963
around,946
right,934
probably,920
feel,919
power,909
down,904
own,895
said,887
pretty,876
getting,876
find,868
year,865
nice,858
different,858
"car,",851
another,847
fwd,846
used,843
g,840
agree,840
miles,821
tsx,815
big,806
might,805
long,801
thing,800
actually,800
5,800
isn't,797
drove,793
put,790
maybe,789
point,787
dealer,779
us,774
far,773
2,769
makes,761
between,760
cost,754
made,752
without,751
sales,747
hp,737
least,736
always,731
old,729
a4,725
seems,724
next,719
believe,717
4,713
i'll,713
before,713
come,701
keep,700
ever,695
you're,695
looks,692
driven,691
handling,690
6,688
real,688
love,687
his,684
335i,681
almost,678
bought,664
use,663
class,653
top,651
high,649
tires,646
guess,641
sports,640
our,637
value,637
330i,633
front,633
auto,632
give,631
lease,624
bit,623
difference,620
current,616
"it,",609
comes,605
read,604
nothing,604
enough,601
"however,",601
quite,596
hard,593
speed,593
torque,591
rear,591
under,588
anything,582
pay,579
based,577
.,576
vehicle,575
money,569
model,566
